preference,watch_history
I want a sci-fi movie after 2005,Gravity
Recommend a crime thriller under 2 hours,Zodiac
I want a light comedy after 2010,The Proposal
Suggest a horror movie under 120 minutes,Insidious
I want a drama starring Tom Hanks,Cast Away
Recommend an action movie after 2018,John Wick: Chapter 3
I want a romantic movie after 2000,Notting Hill
Suggest a mystery thriller under 130 minutes,The Girl with the Dragon Tattoo
I want an animated movie after 2015,Coco
Recommend a biopic under 2 hours,The Pursuit of Happyness
I want a crime movie after 2015,Sicario
Suggest a comedy after 2005,Superbad
I want a thriller starring Matt Damon,The Bourne Identity
Recommend a fantasy movie under 150 minutes,Pan's Labyrinth
I want a war movie after 2000,Black Hawk Down
Suggest a sci-fi movie under 2 hours,Ex Machina
I want a romantic comedy under 120 minutes,10 Things I Hate About You
Recommend a suspense movie after 2012,The Invisible Man
I want a documentary under 90 minutes,Inside Job
Suggest a superhero movie after 2012,Avengers: Endgame
I want a psychological thriller after 2015,Split
Recommend a family movie after 2008,Up
I want a crime movie starring Denzel Washington,Training Day
Suggest a horror movie after 2020,Smile
I want a sci-fi thriller under 2 hours,Looper
Recommend a sports movie under 120 minutes,Rocky
I want a historical drama after 2005,Lincoln
Suggest an action comedy under 2 hours,Rush Hour
I want a musical under 140 minutes,Chicago
Recommend a thriller under 2 hours,The Call
I want a romance after 2010,Me Before You
Suggest a crime drama after 2018,The Irishman
I want a sci-fi movie after 1995,Gattaca
Recommend a comedy under 100 minutes,Yes Man
I want a horror thriller under 2 hours,The Ring
Suggest a fantasy movie after 2010,Maleficent
I want a courtroom drama under 2 hours,The Verdict
Recommend an indie film after 2015,Moonlight
I want a mystery movie after 2018,Murder on the Orient Express
Suggest a war movie under 2 hours,Fury
I want a romantic drama after 2010,The Fault in Our Stars
Recommend a thriller after 2008,Eagle Eye
I want a documentary after 2015,Icarus
Suggest a comedy after 2016,Tag
I want a sci-fi movie under 2 hours,District 9
Recommend a thriller after 2017,Searching
I want a family movie under 2 hours,Despicable Me
Suggest a crime thriller after 2007,American Gangster
I want a drama starring Brad Pitt,Fight Club
Recommend a mystery thriller under 2 hours,The Others
I want a sci-fi movie after 2010,Oblivion
Suggest a comedy under 110 minutes,The Hangover
I want a horror movie after 2018,The Nun
Recommend a romance under 2 hours,Love Actually
I want an action movie after 2015,Mission Impossible Fallout
Suggest a thriller after 2019,The Platform
I want a drama under 120 minutes,The Social Network
Recommend a sci-fi movie starring Will Smith,I Am Legend
I want a horror thriller under 100 minutes,Don't Breathe
Suggest a fantasy movie under 140 minutes,Alice in Wonderland
I want a crime movie after 2010,The Town
Recommend a comedy after 2000,Bruce Almighty
I want a documentary under 2 hours,Won't You Be My Neighbor
Suggest a thriller after 2005,Disturbia
I want a romantic comedy after 2008,The Holiday
Recommend a war movie after 2010,Hacksaw Ridge
I want a mystery movie under 2 hours,Clue
Suggest a sci-fi thriller after 2018,Ad Astra
I want a drama after 2012,Silver Linings Playbook
Recommend a horror after 2010,Sinister
I want an animated movie under 120 minutes,Finding Nemo
Suggest a crime drama after 2000,Casino
I want a thriller under 2 hours,Red Eye
Recommend a musical after 2010,Les Misérables
I want a family movie after 2015,Moana
Suggest a sci-fi movie under 140 minutes,Sunshine
I want a horror movie after 2016,It
Recommend a comedy under 2 hours,Step Brothers
I want a romantic drama under 2 hours,Pride and Prejudice
Suggest a crime thriller after 2014,Night School
I want a documentary after 2018,American Factory
Recommend a thriller under 120 minutes,Phone Booth
I want a sci-fi movie after 2008,Moon
Suggest a comedy after 2012,We're the Millers
I want a horror thriller after 2021,Barbarian
Recommend a drama under 130 minutes,Manchester by the Sea
I want a fantasy movie after 2001,The Chronicles of Narnia
Suggest a war movie under 150 minutes,Dunkirk
I want a romantic comedy after 2013,About Time
Recommend a mystery movie after 2015,The Girl on the Train
I want a thriller starring Mark Wahlberg,Shooter
Suggest a sci-fi movie under 2 hours,Upgrade
I want a horror after 2019,The Lodge
Recommend a comedy under 2 hours,Get Smart
I want a family movie after 2012,Brave
Suggest a crime drama under 2 hours,Donnie Brasco
