case_index,category,prompt,history,output_tmdb_id,movie_title,recommendation_message,used_llm,intent_enabled,intent_used,intent_override_keys,semantic_enabled,semantic_available,semantic_used,semantic_hit_count,semantic_elapsed_s,retrieval_mode,route,confidence,convergence,runtime_s,history_repeat,error
0,,I want a sci-fi movie under 2 hours,"[""Interstellar""]",520763,A Quiet Place Part II,"Since you're looking for a tight sci-fi experience under two hours, this gripping sequel is a perfect choice. It expands the terrifying world of the first film with intense tension and a brilliant performance by Emily Blunt. Get ready for a high-stakes survival ride that respects your time.",True,True,False,,False,False,False,0,0.0,lexical,description_only,high,partial,5.412,False,
1,,Recommend a crime thriller after 2010 starring Leonardo DiCaprio,"[""Inception""]",106646,The Wolf of Wall Street,"Dive into the chaotic world of high-finance corruption and excess. This crime thriller features Leonardo DiCaprio as a relentless con man, perfectly matching your request for a post-2010 crime film starring the actor.",True,True,True,"genres,named_people,release_year",False,False,False,0,0.0,lexical,judge_5,medium,partial,8.441,False,
2,,I want a feel-good comedy under 120 minutes,"[""The Intern""]",77338,The Intouchables,"Experience the heartwarming bond between an aristocrat and his unlikely caregiver in this true story. It is the perfect feel-good comedy that balances humor with a touching friendship, all while keeping you smiling throughout.",True,True,False,,False,False,False,0,0.0,lexical,judge_8,medium,partial,6.434,False,
3,,Suggest a horror movie released after 2015,"[""The Conjuring""]",1470130,The Mortuary Assistant,"Step into the macabre world of a recent mortuary science graduate who discovers her night shift is far from ordinary. If you're looking for a modern horror experience, this mystery-driven descent into the afterlife delivers a chillingly atmospheric ride.",True,True,True,"genres,release_year",False,False,False,0,0.0,lexical,judge_5,medium,partial,11.142,False,
4,,I want a drama directed by Christopher Nolan,"[""Dunkirk""]",872585,Oppenheimer,"Step into the high-stakes world of the Manhattan Project and witness the birth of the atomic bomb. This gripping drama directed by Christopher Nolan perfectly matches your request, offering a profound look at J. Robert Oppenheimer's complex legacy.",True,True,True,"genres,named_people",False,False,False,0,0.0,lexical,judge_5,medium,partial,8.687,False,
5,,Recommend an action movie under 2.5 hours,"[""Mad Max: Fury Road""]",177677,Mission: Impossible - Rogue Nation,"If you're looking for a high-octane ride that fits your timeframe, this is a perfect pick. You'll love the breathtaking stunts and the tension as Ethan Hunt races to dismantle the mysterious Syndicate. It's a masterclass in action cinema that keeps the pace relentless from start to finish.",True,True,False,,False,False,False,0,0.0,lexical,description_only,high,partial,6.632,False,
6,,I want a romantic movie starring Ryan Gosling,"[""La La Land""]",50646,"Crazy, Stupid, Love.","I’d point you to ""Crazy, Stupid, Love."" because it gives your romance request a concrete shape: Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however. For a romance request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,True,"genres,named_people",False,False,False,0,0.0,lexical,judge_5,medium,partial,18.05,False,
7,,Suggest a mystery thriller after 2005,"[""Gone Girl""]",812583,Wake Up Dead Man: A Knives Out Mystery,"I’d point you to ""Wake Up Dead Man: A Knives Out Mystery"" because it gives your mystery and thriller request a concrete shape: When young priest Jud Duplenticy is sent to assist charismatic firebrand Monsignor Jefferson Wicks, it’s clear that all is not well in the pews. For a mystery and thriller request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,True,"genres,release_year",False,False,False,0,0.0,lexical,judge_5,medium,partial,18.046,False,
8,,I want an animated movie under 100 minutes,"[""Toy Story 3""]",301528,Toy Story 4,"I’d point you to ""Toy Story 4"" because it gives your animation request a concrete shape: Woody has always been confident about his place in the world, devoted to taking care of his kid—whether that's Andy or Bonnie. For a animation request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,18.048,False,
9,,Recommend a biopic released after 2018,"[""Bohemian Rhapsody""]",496243,Parasite,"I’d point you to ""Parasite""; it has a clear dark comedy, con artist, and social commentary pull from the start: All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident. If you are browsing in a comedy and thriller mood, this gives you a clearer reason to press play than most filler picks.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,18.053,False,
